,Age
1343,Adult
1344,Adult
1345,Adult
1346,Adult
1347,Adult
1348,Adult
1349,Adult
1350,Adult
1351,Adult
1352,Adult
1353,Adult
1354,Adult
1355,Adult
1356,Adult
1357,Adult
1358,Adult
1359,Adult
1360,Adult
1361,Adult
1362,Adult
1363,Adult
1364,Adult
1365,Adult
1366,Adult
1367,Adult
1368,Adult
1369,Adult
1370,Adult
1371,Adult
1372,Adult
1373,Adult
1374,Adult
1375,Adult
1376,Adult
1377,Adult
1378,Adult
1379,Adult
1380,Adult
1381,Adult
1382,Adult
1383,Adult
1384,Adult
1385,Adult
1386,Adult
1387,Adult
1388,Adult
1389,Adult
1390,Adult
1391,Adult
1392,Adult
1393,Adult
1394,Adult
1395,Adult
1396,Adult
1397,Adult
1398,Adult
1399,Adult
1400,Adult
1401,Adult
1402,Adult
1403,Adult
1404,Adult
1405,Adult
1406,Adult
1407,Adult
1408,Adult
1409,Adult
1410,Adult
1411,Adult
1412,Adult
1413,Adult
1414,Adult
1415,Adult
1416,Adult
1417,Adult
1418,Adult
1419,Adult
1420,Adult
1421,Adult
1422,Adult
1423,Adult
1424,Adult
1425,Adult
1426,Adult
1427,Adult
1428,Adult
1429,Adult
1430,Adult
1431,Adult
1432,Adult
1433,Adult
1434,Adult
1435,Adult
1436,Adult
1437,Adult
1438,Adult
1439,Adult
1440,Adult
1441,Adult
1442,Adult
1443,Adult
1444,Adult
1445,Adult
1446,Adult
1447,Adult
1448,Adult
1449,Adult
1450,Adult
1451,Adult
1452,Adult
1453,Adult
1454,Adult
1455,Adult
1456,Adult
1457,Adult
1458,Adult
1459,Adult
1460,Adult
1461,Adult
1462,Adult
1463,Adult
1464,Adult
1465,Adult
1466,Adult
1467,Adult
1468,Adult
1469,Adult
1470,Adult
1471,Adult
1472,Adult
1473,Adult
1474,Adult
1475,Adult
1476,Adult
1477,Adult
1478,Adult
1479,Adult
1480,Adult
1481,Adult
1482,Adult
1483,Adult
1484,Adult
1485,Adult
1486,Adult
1487,Adult
1488,Adult
1489,Adult
1490,Adult
1491,Adult
1492,Adult
1493,Adult
1494,Adult
1495,Adult
1496,Adult
1497,Adult
1498,Adult
1499,Adult
1500,Adult
1501,Adult
1502,Adult
1503,Adult
1504,Adult
1505,Adult
1506,Adult
1507,Adult
1508,Adult
1509,Adult
1510,Adult
1511,Adult
1512,Adult
1513,Adult
1514,Adult
1515,Adult
1516,Adult
1517,Adult
1518,Adult
1519,Adult
1520,Adult
1521,Adult
1522,Adult
1523,Adult
1524,Adult
1525,Adult
1526,Adult
1527,Adult
1528,Adult
1529,Adult
1530,Adult
1531,Adult
1532,Adult
1533,Adult
1534,Adult
1535,Adult
1536,Adult
1537,Adult
1538,Adult
1539,Adult
1540,Adult
1541,Adult
1542,Adult
1543,Adult
1544,Adult
1545,Adult
1546,Adult
1547,Adult
1548,Adult
1549,Adult
1550,Adult
1551,Adult
1552,Adult
1553,Adult
1554,Adult
1555,Adult
1556,Adult
1557,Adult
1558,Adult
1559,Adult
1560,Adult
1561,Adult
1562,Adult
1563,Adult
1564,Adult
1565,Adult
1566,Adult
1567,Adult
1568,Adult
1569,Adult
1570,Adult
1571,Adult
1572,Adult
1573,Adult
1574,Adult
1575,Adult
1576,Adult
1577,Adult
1578,Adult
1579,Adult
1580,Adult
1581,Adult
1582,Adult
1583,Adult
1584,Adult
1585,Adult
1586,Adult
1587,Adult
1588,Adult
1589,Adult
1590,Adult
1591,Adult
1592,Adult
1593,Adult
1594,Adult
1595,Adult
1596,Adult
1597,Adult
1598,Adult
1599,Adult
1600,Adult
1601,Adult
1602,Adult
1603,Adult
1604,Adult
1605,Adult
1606,Adult
1607,Adult
1608,Adult
1609,Adult
1610,Adult
1611,Adult
1612,Adult
1613,Adult
1614,Adult
1615,Adult
1616,Adult
1617,Adult
1618,Adult
1619,Adult
1620,Adult
1621,Adult
1622,Adult
1623,Adult
1624,Adult
1625,Adult
1626,Adult
1627,Adult
1628,Adult
1629,Adult
1630,Adult
1631,Adult
1632,Adult
1633,Adult
1634,Adult
1635,Adult
1636,Adult
1637,Adult
1638,Adult
1639,Adult
1640,Adult
1641,Adult
1642,Adult
1643,Adult
1644,Adult
1645,Adult
1646,Adult
1647,Adult
1648,Adult
1649,Adult
1650,Adult
1651,Adult
1652,Adult
1653,Adult
1654,Adult
1655,Adult
1656,Adult
1657,Adult
1658,Adult
1659,Adult
1660,Adult
1661,Adult
1662,Adult
1663,Adult
1664,Adult
1665,Adult
1666,Adult
1667,Adult
1668,Adult
1669,Adult
1670,Adult
1671,Adult
1672,Adult
1673,Adult
1674,Adult
1675,Adult
1676,Adult
1677,Adult
1678,Adult
1679,Adult
1680,Adult
1681,Adult
1682,Adult
1683,Adult
1684,Adult
1685,Adult
1686,Adult
1687,Adult
1688,Adult
1689,Adult
1690,Adult
1691,Adult
1692,Adult
1693,Adult
1694,Adult
1695,Adult
1696,Adult
1697,Adult
1698,Adult
1699,Adult
1700,Adult
1701,Adult
1702,Adult
1703,Adult
1704,Adult
1705,Adult
1706,Adult
1707,Adult
1708,Adult
1709,Adult
1710,Adult
1711,Adult
1712,Adult
1713,Adult
1714,Adult
1715,Adult
1716,Adult
1717,Adult
1718,Adult
1719,Adult
1720,Adult
1721,Adult
1722,Adult
1723,Adult
1724,Adult
1725,Adult
1726,Adult
1727,Adult
1728,Adult
1729,Adult
1730,Adult
1731,Adult
1732,Adult
1733,Adult
1734,Adult
1735,Adult
1736,Adult
1737,Adult
1738,Adult
1739,Adult
1740,Adult
1741,Adult
1742,Adult
1743,Adult
1744,Adult
1745,Adult
1746,Adult
1747,Adult
1748,Adult
1749,Adult
1750,Adult
1751,Adult
1752,Adult
1753,Adult
1754,Adult
1755,Adult
1756,Adult
1757,Adult
1758,Adult
1759,Adult
1760,Adult
1761,Adult
1762,Adult
1763,Adult
1764,Adult
1765,Adult
1766,Adult
1767,Adult
1768,Adult
1769,Adult
1770,Adult
1771,Adult
1772,Adult
1773,Adult
1774,Adult
1775,Adult
1776,Adult
1777,Adult
1778,Adult
1779,Adult
1780,Adult
1781,Adult
1782,Adult
1783,Adult
1784,Adult
1785,Adult
1786,Adult
1787,Adult
1788,Adult
1789,Adult
1790,Adult
1791,Adult
1792,Adult
1793,Adult
1794,Adult
1795,Adult
1796,Adult
1797,Adult
1798,Adult
1799,Adult
1800,Adult
1801,Adult
1802,Adult
1803,Adult
1804,Adult
1805,Adult
1806,Adult
1807,Adult
1808,Adult
1809,Adult
1810,Adult
1811,Adult
1812,Adult
1813,Adult
1814,Adult
1815,Adult
1816,Adult
1817,Adult
1818,Adult
1819,Adult
1820,Adult
1821,Adult
1822,Adult
1823,Adult
1824,Adult
1825,Adult
1826,Adult
1827,Adult
1828,Adult
1829,Adult
1830,Adult
1831,Adult
1832,Adult
1833,Adult
1834,Adult
1835,Adult
1836,Adult
1837,Adult
1838,Adult
1839,Adult
1840,Adult
1841,Adult
1842,Adult
1843,Adult
1844,Adult
1845,Adult
1846,Adult
1847,Adult
1848,Adult
1849,Adult
1850,Adult
1851,Adult
1852,Adult
1853,Adult
1854,Adult
1855,Adult
1856,Adult
1857,Adult
1858,Adult
1859,Adult
1860,Adult
1861,Adult
1862,Adult
1863,Adult
1864,Adult
1865,Adult
1866,Adult
1867,Adult
1868,Adult
1869,Adult
1870,Adult
1871,Adult
1872,Adult
1873,Adult
1874,Adult
1875,Adult
1876,Adult
1877,Adult
1878,Adult
1879,Adult
1880,Adult
1881,Adult
1882,Adult
1883,Adult
1884,Adult
1885,Adult
1886,Adult
1887,Adult
1888,Adult
1889,Adult
1890,Adult
1891,Adult
1892,Adult
1893,Adult
1894,Adult
1895,Adult
1896,Adult
1897,Adult
1898,Adult
1899,Adult
1900,Adult
1901,Adult
1902,Adult
1903,Adult
1904,Adult
1905,Adult
1906,Adult
1907,Adult
1908,Adult
1909,Adult
1910,Adult
1911,Adult
1912,Adult
1913,Adult
1914,Adult
1915,Adult
1916,Adult
1917,Adult
1918,Adult
1919,Adult
1920,Adult
1921,Adult
1922,Adult
1923,Adult
1924,Adult
1925,Adult
1926,Adult
1927,Adult
1928,Adult
1929,Adult
1930,Adult
1931,Adult
1932,Adult
1933,Adult
1934,Adult
1935,Adult
1936,Adult
1937,Adult
1938,Adult
1939,Adult
1940,Adult
1941,Adult
1942,Adult
1943,Adult
1944,Adult
1945,Adult
1946,Adult
1947,Adult
1948,Adult
1949,Adult
1950,Adult
1951,Adult
1952,Adult
1953,Adult
1954,Adult
1955,Adult
1956,Adult
1957,Adult
1958,Adult
1959,Adult
1960,Adult
1961,Adult
1962,Adult
1963,Adult
1964,Adult
1965,Adult
1966,Adult
